file_name,normalized_transcription
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/80347655f0c5d26d0cb2e8f786169786ad018a7b229c1e42c5360f9690c057f7.wav","batareyasining quvvati esa bir oygacha yetadi"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/80f2e90814730c72a141f0283b9717569f5db5102fdc9579ae09cb4a4c32f9fc.wav","indoneziyada halokatga uchragan samolyotning bo'laklari topildi"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/7f396a0e64283c3ee6a9289ee0505cff2d0ecb0cb19e19923d29ada458a784d0.wav","janobi oliylari, samimiy ehtiromlarimni qabul qilgaysiz!"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/7f1eea474069acccece474fef3a1347e514e9ad2773d1f3356209930fe5eea79.wav","singapurda o'smirlar o'rtasidagi olimpiada ochilish marosimi"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/86d3d79fa2176452094d4d3af4dd7377e108345cfb6fa427e10a6342983c1ad8.wav","ularning avtomobillari noma'lum shaxslar tomonidan to'xtatilgan"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/876326fcd9f01834c969d09c3aea8bdcc685e6400ddc3ca106dd5b579adb908d.wav","chunki tomoshabin ko'z oldida jonli ijro"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/8946a1559b663880219be09ba5000e7f3e273e423c2c6342a73879c595732a45.wav","bu yirik shoxli qoramol va qo'ylar"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/89e120498846678094b4838b0077ed7c0ce74e3219b37b9bd5fafed412cd2004.wav","shohimardon qishlog'ida yangi shifoxona ishga tushdi"
"4c6eb13d-eb9a-4b9b-8b2f-16adfa09a38f/85e97fe7a1927ae916c1b20df4bdbbc0ce867cbc80c367412a9264020a60f42c.wav","so'ngra mamlakatning boshqa provinsiyalariga sayohat qilgandim"
"8958c582-94fc-49c9-976d-c9e986ebe1d8/3adc0843fddd94ccbc072203785bfff2bf5f971976178a825f88b5d49941c5fd.wav","hozirda prezident vazifasini harbiy kengash boshqarmoqda"
"8958c582-94fc-49c9-976d-c9e986ebe1d8/3945cb8fd9b9f05a4e6ad4b03be88892a2e58cc2fd1933014309d6a976e510d8.wav","dastlab yig'ilganlar yodgorlik oldiga gullar qo'ydi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/3fd97178616528a96768911cc2c21bc0f1a483f87035a18bcf1ad83bc25aca3e.wav","shu paytda o'q otiladi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/3d4dbb1436520a8bfd650cb60ffec6727cd00a4dae0398994e2b4f1c796372f5.wav","20-duymlik panasonic plansheti"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/3b92290a66c3908b46a24fcfed8abca4cba1f26ff011b494f80dd630ac7e1fee.wav","ko'pchilik tomosha uchun kiryapti"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/336ae9fe653bec0a3aab6b158de9f684289dcbd5b3ee2a59c4f2716aa30a5862.wav","partiya ustavi qabul qilindi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/38bfde6f9e3d63c02fe5e25464c58103939fc5823ab221ebe32b016e1ad7dda1.wav","va hamisha o'z vaqtida!"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/3ec1d06eacf64781a9af58656abfb677a43707926351198a8f721535e4aee032.wav","alisher ziyovutdinov, 73 20"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/3c300ea84bcf3e9eb29472946167a6e8d87263a3d495b502395ad942174b7195.wav","shunga qaramasdan sh.a"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/31ec90870b6fa2a32824044bdf7951e158da871f3129476740b1d4addd953bdd.wav","bu aslida korrupsiya emasmi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/343ba3cbdbebd6cf99fda94c1ae1711a509afa9fad23724a9fb98b4fede1e019.wav","fotogalereya gollivud mashhurlarning farzandlari"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/393a907deae5b970c85e7ff8b8c0d4ae80132a5023e1984ec14c4ce09af8419f.wav","karantin tadbirlari davom etyapti"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/629f6a5ea737e98855f1c25a77bbfb7bda366329c43977865c71139707633f7e.wav","devorlarni benksining asarlari bezatadi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/634de828b268ad33017b04bcfe788c807ecea805d1f525320aa1485d66defc71.wav","men ularni suvga tushirmadim"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/69cf6f9cf1b901db3831b2c8a2e8d6c7ae043d60a15ad521d647eefe3f3fcf07.wav","jabrlanganlar haqida ma'lum qilinmadi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/63df6f9c81893029e5a6345b43cd00b212923381e3cacec75630e9956cf7b0cb.wav","kater narxi oshkor etilmagan"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6bd0d2be8dd2de0758c5fa479168f5120d3575f10c5ab0e6b752d72ff8e7ccb5.wav","oila vakillari jiddiy tashvishda"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6dc01d3ce91e5c02cd77dd7a4694878a2f095a6bd7510579c843e8b0073a21d3.wav","hozirgacha ancha ish qilingan"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6bba8d59535b5d683a3066f62b99e1992d8897ffda00115321b0223eb0d20fc7.wav","aqshning meksika inqilobidagi roli"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/306074307567f26eba1e2eea1ffb3eaacd60e0a75680bad1469cc8fb67023f4d.wav","biroq bu muammo edi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6dc6ac93b2a7c960e89fbac835098559a245acf67a1581bec7c7fa662b5b2d39.wav","og'ir tan jarohati olgan"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6bbafcbd1150b2e5016dc60f5823faaef9ed10839e5b23d9e1787777533431de.wav","g'azoda qulagan masjid minorasi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6e90f30e697f47ae4d4bb2fccba2f606d6002824564c0191fe3b34db7dace395.wav","hamma narsani o'zgartirish kerak"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6c4222b5881e111d0fc25ad874975c1942ca855debbb757edaa725ce82a56ea6.wav","ancha o'zimizga kelolmay yurdik"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6f6c261c619212d86fdad05dc004073bd34aa393e9c1bc6cba8e620fc3a5f076.wav","nikaraguada telika vulqoni uyg'ondi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6acfe092599a091a1bf0e07d70420764f75536fbefe55acf9ca21c931f07352d.wav","olmaotada yana tramvaylar qatnaydi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/309669b581c9f04f70b45451d69c891c3e32b05eb88d0bce63e999a01c36f851.wav","bu hali hammasi emas!"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6fcbeda081196c2ee1debbabc4a2bf86fc941671f99e9ae9ae3c8aa6b45cffa8.wav","afsuski, bankomatlar juda kam"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6d1611a720528427f7de8532e16b3f7a4d5df4f0d8efdf5a7cece2727c464317.wav","o'za mukofotlanganlar ro'yxatini keltirdi "
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/70eafdd72b504cc5ced04ee717e56f7a0b8f0efddb964b70bb29ed992026dc99.wav","ushbu savol bilan potrebitel "
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6df150d746f564fdfab10fc77d2f5f8045f103596293269773d09f475ed6deb1.wav","sibir tomon huzunli yo'l"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6f6fd65ed705d544dfbc273ae5735a16ba2a21d64868c6a90b14d039844f0904.wav","postanovkachi operator muzaffar yusupov"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/665c9dc47bd2ddade7c48f22be5ac69ffd025b28524cb0216449cfdef4a7a745.wav","bu har birimizga tegishli"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6d059cbdb22cc31f9c74c0d71113312657a0751ed7109fc4493789299eab09d3.wav","kompleks yondashish talab etiladi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6c3ed9f3a2e643d5cab11ee5b51cc3a1dced249146dafb1a581dcf25e5b3e222.wav","bizning maqolamiz shular haqida"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/66ca68fb24a81fc0102815fe119c9657201c4875ad39de07467216fafb809154.wav","undan keyin dolchin seping"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/5845c4a24d4e175e8ffdc37c35400b3b4111fbfe7ea5f0ba50579854303b5180.wav","holat yuzasidan a.i"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6b6b809acf4dcd523bd25c1e8879db4ebb21a1d399e82e890075e643d80e545a.wav","shifokorlar birinchi yordamni ko'rsatdi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6a3ee34542faf16a96b37fe7270ecac7b217c5d884c5070b5f2f1331cc5949e6.wav","o'g'ri o'quvchilar qo'lga olindi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6bb06d2c4383069b2115973e88c73dbfcaa11ed7268a9c8cd71261a17a5ad81b.wav","u qiz farzandli bo'ldi "
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/65f1c98dd108ce35aca0dd8c2932523519fabd37726b1a2a0026e2a2af0f8d51.wav","ijtimoiy tarmoqlar ancha qizidi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6bbac805b625be4f1daf026581263e892f94582accdc388e99bd2d06449d92b0.wav","uyga mebel qanday tanlanadi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/4461ac5b9dc4e76ee44d4365c68f64f50f2dab10a3aa1aaa667ee0946e319931.wav","ustidan fuqaro o'.m"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/70f7e022971a0d321c9c0f5c02ed2f40db1f696fbf0fa4e0bfe099fec785e81d.wav","qachondir, balki, omadimiz kelar"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6c9e0b1649b14825e8bf661029722a1ce67dd843d9f98572a9a5a49995babe1b.wav","birinchisi patrisian jivult edi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/720d3f853d05976d2a7faeee9110f29f0a2aef620dc8f75e8863d1567adf93b3.wav","mustaqillik bayramini nishonlashga tayyorgarlik"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6c6e9d4c5828aaa5f2f7a4d475edbb5a9f86b381c69afbb6867648d1cd8ad8ff.wav","o'ylagan rejamiz amalga oshmadi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/7122d1fbef072dda5f8306dd763502ffbd70ad9a87466f3356410a6764abba8f.wav","xalqaro qora belbog' sohibiman"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/70c7af5c287a151172da5a99fd003357d9e38f7a6452914e3c4639591e58ea18.wav","aytgan joyigacha eltib beramiz"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6b5893ec3240fc3402bebaa853ed0b2efcbda01b0730e7af0b0b70dd071f3ecd.wav","groskurt germaniya taklif qilindi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6ef398d3715fcdfd1c25630c2f6f0f61888346dd72466bde21b2075629a18890.wav","odamlarga dindan ta'lim beradi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/72127d7f3971ed8c59ef8fb7cba76be4f0ff7ff90c31be3642c79b1ef7f105f6.wav","hozircha halokat sabablari noma'lum"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/727d648f888ee3dd12321d83bb8369c9e8b9374157d2b72dff67288cd340a1c5.wav","ura deb hayqirgan"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/06f9455b127daef01fba1fe6a3e0a5680d93fb7ce81273820199292eea0d2e1a.wav","hazil, bu tasodif emas"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6b17036432baa6f06bbad21a1825d6d70d7455b3c0165119e2c20e206ca59f70.wav","koreyslar umuman boshqacha xalq"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/6e59a9b749017e6bda5b9ddfb2153137de82106de14fe19e7e2f42825019b2a1.wav","nemislar yengilib, ortga chekindi"
"dfe08d43-6f47-4cd1-9ed2-c71ab4399c6d/71f613bdd109c8da24f774566fa235c427839536603a323d0bf0181fa9062ced.wav","shunchaki bor gapni aytayapman"
